2026-04-10 11:40:42 | INFO     | main | Orchestration service started
2026-04-10 11:51:03 | INFO     | main | Orchestration service started
2026-04-10 11:53:25 | INFO     | main | Orchestration service started
2026-04-10 12:02:52 | INFO     | main | Orchestration service started
2026-04-10 12:04:31 | INFO     | main | Orchestration service started
2026-04-10 12:11:19 | INFO     | main | Orchestration service started
2026-04-10 12:11:39 | INFO     | main | Orchestration service started
2026-04-10 12:12:27 | WARNING  | auth | Failed login attempt for: testuser
2026-04-10 12:12:37 | WARNING  | auth | Failed login attempt for: testuser
2026-04-10 12:12:43 | WARNING  | auth | Failed login attempt for: testuser
2026-04-10 12:12:50 | WARNING  | auth | Failed login attempt for: testuser
2026-04-10 12:12:55 | WARNING  | auth | Failed login attempt for: testuser
2026-04-10 12:13:11 | WARNING  | auth | Failed login attempt for: testuser34
2026-04-10 12:13:17 | INFO     | auth | New user registered: testuser34
2026-04-10 12:13:23 | INFO     | auth | User logged in: testuser34
2026-04-10 12:13:37 | INFO     | transcribe | Transcription complete: user=testuser34, file=Recording.m4a, language=nn
2026-04-10 12:14:19 | INFO     | auth | User logged in: testuser34
2026-04-10 12:14:31 | INFO     | transcribe | Transcription complete: user=testuser34, file=Recording.m4a, language=nn
2026-04-10 12:18:33 | INFO     | main | Orchestration service started
2026-04-10 12:19:27 | INFO     | middleware | -> GET /docs
2026-04-10 12:19:27 | INFO     | middleware | [OK] GET /docs - 200 (0.00s)
2026-04-10 12:19:27 | INFO     | middleware | -> GET /openapi.json
2026-04-10 12:19:27 | INFO     | middleware | [OK] GET /openapi.json - 200 (0.01s)
2026-04-10 12:19:46 | INFO     | middleware | -> POST /auth/login
2026-04-10 12:19:46 | WARNING  | auth | Failed login attempt for: string
2026-04-10 12:19:46 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.19s)
2026-04-10 13:43:29 | INFO     | main | Orchestration service started
2026-04-10 13:44:14 | INFO     | middleware | -> GET /docs
2026-04-10 13:44:14 | INFO     | middleware | [OK] GET /docs - 200 (0.00s)
2026-04-10 13:44:15 | INFO     | middleware | -> GET /openapi.json
2026-04-10 13:44:15 | INFO     | middleware | [OK] GET /openapi.json - 200 (0.01s)
2026-04-10 13:44:27 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:27 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:27 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.18s)
2026-04-10 13:44:29 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:29 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:29 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:44:29 | INFO     | middleware | -> POST /auth/login
